scheme,model,run_tag,l_bits,group_bits,user_bits,num_prompts,num_attack_variants_per_prompt,total_attack_results,random_seed,generated_utc,deletion_percent,deletion_mode,num_results,group_accuracy,user_accuracy,full_identity_accuracy,false_positive_rate,false_negative_rate,avg_invalid_symbols,avg_hamming_distance,avg_z_score
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.2,middle,300,0.8866666666666667,0.9624060150375939,0.8533333333333334,0.08,0.06666666666666667,0.8733333333333333,0.0,6.022545022629487
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.2,random,300,0.023333333333333334,0.0,0.0,0.023333333333333334,0.9766666666666667,7.66,0.0,2.031637888564737
hierarchical,gpt2,job_7963207,8,4.0,4.0,300,16,4800,1066333655,2025-12-21T10:59:00.194957Z,0.2,start,300,0.9166666666666666,0.9636363636363636,0.8833333333333333,0.07,0.04666666666666667,0.6433333333333333,0.0,6.462090847204094
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.05,end,300,0.91,0.9560439560439561,0.87,0.06666666666666667,0.06333333333333334,0.7466666666666667,0.0,6.486017557929707
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.05,middle,300,0.91,0.9377289377289377,0.8533333333333334,0.06666666666666667,0.08,0.8366666666666667,0.0,6.421780423115485
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.05,random,300,0.7966666666666666,0.8410041841004184,0.67,0.21,0.12,1.7533333333333334,0.0,5.062509593795661
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.05,start,300,0.9266666666666666,0.9568345323741008,0.8866666666666667,0.05333333333333334,0.06,0.6833333333333333,0.0,6.683320152573511
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.1,end,300,0.8966666666666666,0.9405204460966543,0.8433333333333334,0.08,0.07666666666666666,0.85,0.0,6.283317859746837
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.1,middle,300,0.8966666666666666,0.9368029739776952,0.84,0.07,0.09,0.8766666666666667,0.0,6.235450415603779
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.1,random,300,0.39666666666666667,0.47058823529411764,0.18666666666666668,0.49666666666666665,0.31666666666666665,4.64,0.0,3.7014838800453056
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.1,start,300,0.92,0.9565217391304348,0.88,0.06,0.06,0.7233333333333334,0.0,6.559171026886116
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.15,end,300,0.8933333333333333,0.9365671641791045,0.8366666666666667,0.08333333333333333,0.08,0.9266666666666666,0.0,6.081373548531693
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.15,middle,300,0.8933333333333333,0.9253731343283582,0.8266666666666667,0.08333333333333333,0.09,0.96,0.0,6.027396731708265
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.15,random,300,0.08,0.20833333333333334,0.016666666666666666,0.17333333333333334,0.81,6.966666666666667,0.0,2.703047897492341
hierarchical,gpt2,job_7963207,8,5.0,3.0,300,16,4800,1083191519,2025-12-21T15:30:04.112811Z,0.15,start,300,0.9133333333333333,0.9598540145985401,0.8766666666666667,0.06333333333333334,0.06,0.7333333333333333,0.0,6.3972950137147
